1500.00000000,-0.48873133,
1500.01000000,-0.47950160,
1500.02000000,-0.46911191,
1500.03000000,-0.46262174,
1500.04000000,-0.45481928,
1500.05000000,-0.44965535,
1500.06000000,-0.44845534,
1500.07000000,-0.44662611,
1500.08000000,-0.44560564,
1500.09000000,-0.45026622,
1500.10000000,-0.45074927,
1500.11000000,-0.45721383,
1500.12000000,-0.46631639,
1500.13000000,-0.47332872,
1500.14000000,-0.48202477,
1500.15000000,-0.49549504,
1500.16000000,-0.50829253,
1500.17000000,-0.52476976,
1500.18000000,-0.53966271,
1500.19000000,-0.55812911,
1500.20000000,-0.57647048,
1500.21000000,-0.59907851,
1500.22000000,-0.61939976,
1500.23000000,-0.64622213,
1500.24000000,-0.67110148,
1500.25000000,-0.69486419,
1500.26000000,-0.71903684,
1500.27000000,-0.74555568,
1500.28000000,-0.77340784,
1500.29000000,-0.80055112,
1500.30000000,-0.83064679,
1500.31000000,-0.86188435,
1500.32000000,-0.89349084,
1500.33000000,-0.92713399,
1500.34000000,-0.95614277,
1500.35000000,-0.98615977,
1500.36000000,-1.02379032,
1500.37000000,-1.05702935,
1500.38000000,-1.08884293,
1500.39000000,-1.12236202,
1500.40000000,-1.15396708,
1500.41000000,-1.18446358,
1500.42000000,-1.22395276,
1500.43000000,-1.25514177,
1500.44000000,-1.28691097,
1500.45000000,-1.32163640,
1500.46000000,-1.35523539,
1500.47000000,-1.38428347,
1500.48000000,-1.41553050,
1500.49000000,-1.44543980,
1500.50000000,-1.47583194,
1500.51000000,-1.50622694,
1500.52000000,-1.53807790,
1500.53000000,-1.56614452,
1500.54000000,-1.58865480,
1500.55000000,-1.62101069,
1500.56000000,-1.64493386,
1500.57000000,-1.66986228,
1500.58000000,-1.69880505,
1500.59000000,-1.71998441,
1500.60000000,-1.74331125,
1500.61000000,-1.76588513,
1500.62000000,-1.78472214,
1500.63000000,-1.80199560,
1500.64000000,-1.82572455,
1500.65000000,-1.84110298,
1500.66000000,-1.85822642,
1500.67000000,-1.87711622,
1500.68000000,-1.88848693,
1500.69000000,-1.90357665,
1500.70000000,-1.91879396,
1500.71000000,-1.92568363,
1500.72000000,-1.93718315,
1500.73000000,-1.94676786,
1500.74000000,-1.95808464,
1500.75000000,-1.95590976,
1500.76000000,-1.96822176,
1500.77000000,-1.97224379,
1500.78000000,-1.97036645,
1500.79000000,-1.97768988,
1500.80000000,-1.97657812,
1500.81000000,-1.97527622,
1500.82000000,-1.97663772,
1500.83000000,-1.97334357,
1500.84000000,-1.96320557,
1500.85000000,-1.96454630,
1500.86000000,-1.95828482,
1500.87000000,-1.94533923,
1500.88000000,-1.94017026,
1500.89000000,-1.93001514,
1500.90000000,-1.91545511,
1500.91000000,-1.90427543,
1500.92000000,-1.89247280,
1500.93000000,-1.87664810,
1500.94000000,-1.86066122,
1500.95000000,-1.84849786,
1500.96000000,-1.82908892,
1500.97000000,-1.80741497,
1500.98000000,-1.78969757,
1500.99000000,-1.76599596,
1501.00000000,-1.74762764,
1501.01000000,-1.72623739,
1501.02000000,-1.69894655,
1501.03000000,-1.67478233,
1501.04000000,-1.65162758,
1501.05000000,-1.62629264,
1501.06000000,-1.59494633,
1501.07000000,-1.57243130,
1501.08000000,-1.54032071,
1501.09000000,-1.51184649,
1501.10000000,-1.48305742,
1501.11000000,-1.44903889,
1501.12000000,-1.42033856,
1501.13000000,-1.39359227,
1501.14000000,-1.35685316,
1501.15000000,-1.32388596,
1501.16000000,-1.29560899,
1501.17000000,-1.26240691,
1501.18000000,-1.22972990,
1501.19000000,-1.19583208,
1501.20000000,-1.16455476,
1501.21000000,-1.13041660,
1501.22000000,-1.09932280,
1501.23000000,-1.06642322,
1501.24000000,-1.02515717,
1501.25000000,-0.99837850,
1501.26000000,-0.96745519,
1501.27000000,-0.93169709,
1501.28000000,-0.90329482,
1501.29000000,-0.87120887,
1501.30000000,-0.83764901,
1501.31000000,-0.81109912,
1501.32000000,-0.78108588,
1501.33000000,-0.74706172,
1501.34000000,-0.72348146,
1501.35000000,-0.69784815,
1501.36000000,-0.66806036,
1501.37000000,-0.64790026,
1501.38000000,-0.62482700,
1501.39000000,-0.60040866,
1501.40000000,-0.58113789,
1501.41000000,-0.56329214,
1501.42000000,-0.54044585,
1501.43000000,-0.52457688,
1501.44000000,-0.50923510,
1501.45000000,-0.49374086,
1501.46000000,-0.48325441,
1501.47000000,-0.47198185,
1501.48000000,-0.46233017,
1501.49000000,-0.45418790,
1501.50000000,-0.44839054,
1501.51000000,-0.44337593,
1501.52000000,-0.44099938,
1501.53000000,-0.44035486,
1501.54000000,-0.44118318,
1501.55000000,-0.44427781,
1501.56000000,-0.44855359,
1501.57000000,-0.45239345,
1501.58000000,-0.45991859,
1501.59000000,-0.47034418,
1501.60000000,-0.47793219,
1501.61000000,-0.49154147,
1501.62000000,-0.50551740,
1501.63000000,-0.52060509,
1501.64000000,-0.53644620,
1501.65000000,-0.55586007,
1501.66000000,-0.57519282,
1501.67000000,-0.59652739,
1501.68000000,-0.61846910,
1501.69000000,-0.63990822,
1501.70000000,-0.66535507,
1501.71000000,-0.69019283,
1501.72000000,-0.71600916,
1501.73000000,-0.74463126,
1501.74000000,-0.77500864,
1501.75000000,-0.80190001,
1501.76000000,-0.83411214,
1501.77000000,-0.86354697,
1501.78000000,-0.89457321,
1501.79000000,-0.92707640,
1501.80000000,-0.96051632,
1501.81000000,-0.99180151,
1501.82000000,-1.02172977,
1501.83000000,-1.05535792,
1501.84000000,-1.08757741,
1501.85000000,-1.12280015,
